Mes,Distribuição,P Value,Rejeita H0
1,Normal,0.0076067081636221,True
2,Normal,0.0002985270501981,True
3,Normal,0.0040866038799435,True
4,Normal,0.0107867521776992,True
5,Normal,0.000270885701053,True
6,Normal,0.0026003621131825,True
7,Normal,0.0735790483471144,False
8,Normal,0.1166368747906957,False
9,Normal,0.0525900390621884,False
10,Normal,0.0692817090400059,False
11,Normal,0.0147802132259597,True
12,Normal,0.0605626549520095,False
Todos,Normal,1.0225505775451893e-08,True
1,t,5.0871214796188724e-08,True
2,t,4.047243795657352e-08,True
3,t,5.153805526791899e-08,True
4,t,3.2853708975544293e-08,True
5,t,5.15846912962914e-08,True
6,t,3.288851169180873e-08,True
7,t,5.1300382275520924e-08,True
8,t,5.0939033102714866e-08,True
9,t,3.1980810777376696e-08,True
10,t,5.000151426237665e-08,True
11,t,3.201071752112483e-08,True
12,t,5.06852791959389e-08,True
Todos,t,2.380046499883548e-07,True
