Mes,Distribuição,P Value,Rejeita H0
1,Normal,0.0005419785866877,True
2,Normal,5.50882465532488e-05,True
3,Normal,7.577753823536129e-05,True
4,Normal,0.0001249782891405,True
5,Normal,1.546335671906038e-06,True
6,Normal,0.0001117021286265,True
7,Normal,0.0160064478260903,True
8,Normal,0.0206693884799548,True
9,Normal,0.0099712272925774,True
10,Normal,0.0930032822132926,False
11,Normal,0.0007760572150145,True
12,Normal,0.014452874946823,True
Todos,Normal,4.912841335031311e-15,True
1,t,0.0005431368017139,True
2,t,5.514920140967048e-05,True
3,t,7.521295402706512e-05,True
4,t,0.0001242844701917,True
5,t,1.540465567959933e-06,True
6,t,0.0001108240850676,True
7,t,0.0159316908028912,True
8,t,0.0207106058801999,True
9,t,0.0099851799041419,True
10,t,0.0930481208412996,False
11,t,0.0007731093920563,True
12,t,0.0144091345863329,True
Todos,t,4.8890091143580616e-15,True
