Mes,Distribuição,P Value,Rejeita H0
1,Normal,0.0629836917967424,False
2,Normal,4.032741783748839e-05,True
3,Normal,0.0070209588915858,True
4,Normal,0.0322005925987897,True
5,Normal,0.0002000132152776,True
6,Normal,0.0005605122630065,True
7,Normal,0.1925799515508192,False
8,Normal,0.5367304610224456,False
9,Normal,0.0963401001820612,False
10,Normal,0.1323597710458924,False
11,Normal,0.0747755295482441,False
12,Normal,0.1074690643848677,False
Todos,Normal,3.14634283860722e-18,True
1,t,4.300826887117988e-05,True
2,t,2.8303614131399733e-05,True
3,t,0.0026977956746955,True
4,t,0.0004894331203334,True
5,t,0.0001570093442414,True
6,t,0.0003163163189124,True
7,t,0.0040791475207698,True
8,t,0.0533506655581151,False
9,t,0.0310762347294076,True
10,t,0.0004159929351177,True
11,t,0.0075844337103907,True
12,t,0.0388577487791836,True
Todos,t,9.156885671927868e-15,True
