Mes,Distribuição,Estatística,Valor Crítico (5%),Rejeita H0
1,Normal,4.630191655196086,0.785,True
2,Normal,9.284240833573676,0.784,True
3,Normal,5.307849098684528,0.785,True
4,Normal,4.0053422433438755,0.785,True
5,Normal,8.06808519614242,0.785,True
6,Normal,6.061675396111923,0.785,True
7,Normal,2.7350894674409574,0.785,True
8,Normal,2.109597243199005,0.785,True
9,Normal,3.0548418916887385,0.785,True
10,Normal,3.0783089952819864,0.785,True
11,Normal,3.8637357280135802,0.785,True
12,Normal,2.7958765971886805,0.785,True
Todos,Normal,20.2860527631492,0.787,True
