Mes,Distribuição,P Value,Rejeita H0
1,Normal,0.06298369179674244,False
2,Normal,4.032741783748839e-05,True
3,Normal,0.007020958891585889,True
4,Normal,0.032200592598789705,True
5,Normal,0.0002000132152776773,True
6,Normal,0.0005605122630065077,True
7,Normal,0.19257995155081922,False
8,Normal,0.5367304610224456,False
9,Normal,0.09634010018206128,False
10,Normal,0.13235977104589242,False
11,Normal,0.07477552954824415,False
12,Normal,0.10746906438486774,False
Todos,Normal,3.14634283860722e-18,True
