Mes,Distribuição,P Value,Rejeita H0
1,Normal,0.007606708163622189,True
2,Normal,0.00029852705019817183,True
3,Normal,0.004086603879943529,True
4,Normal,0.0107867521776992,True
5,Normal,0.00027088570105304743,True
6,Normal,0.002600362113182597,True
7,Normal,0.07357904834711448,False
8,Normal,0.11663687479069573,False
9,Normal,0.0525900390621884,False
10,Normal,0.06928170904000597,False
11,Normal,0.014780213225959793,True
12,Normal,0.06056265495200952,False
Todos,Normal,1.0225505775451893e-08,True
