Mes,Distribuição,P Value,Rejeita H0
1,Normal,0.0005419785866877415,True
2,Normal,5.5088246553248804e-05,True
3,Normal,7.577753823536129e-05,True
4,Normal,0.00012497828914051327,True
5,Normal,1.5463356719060381e-06,True
6,Normal,0.00011170212862657446,True
7,Normal,0.016006447826090335,True
8,Normal,0.020669388479954844,True
9,Normal,0.009971227292577494,True
10,Normal,0.09300328221329268,False
11,Normal,0.0007760572150145139,True
12,Normal,0.014452874946823069,True
Todos,Normal,4.91284133503131e-15,True
