Mes,Distribuição,P Value,Rejeita H0
1,Normal,0.0009999999999998899,True
2,Normal,0.0009999999999998899,True
3,Normal,0.0009999999999998899,True
4,Normal,0.0009999999999998899,True
5,Normal,0.0009999999999998899,True
6,Normal,0.0009999999999998899,True
7,Normal,0.0009999999999998899,True
8,Normal,0.0009999999999998899,True
9,Normal,0.0009999999999998899,True
10,Normal,0.0020446462887725083,True
11,Normal,0.0009999999999998899,True
12,Normal,0.0009999999999998899,True
Todos,Normal,0.0009999999999998899,True
